t,f,rocof,V_dc,P_mppt,P_vic,P_ref,P_inj,P_bess,SOC,alpha,beta,H_eff
4.686,49.9320023115386,2.57164412522585e-06,1200,124790.154760485,3479.53019733375,130400.080325508,130400.080325508,15928.4565759504,0.599923047581657,0.369142073628219,0.133747758769429,1.00000929380817
4.687,49.9320023141051,2.58221766883445e-06,1200,124790.154760485,3479.53000774484,130400.080569053,130400.080569053,15928.455397423,0.599922954432795,0.369142071493934,0.133747795857755,1.00000934105508
4.688,49.9320023166821,2.59273596866149e-06,1200,124790.154760485,3479.52981743072,130400.080811626,130400.080811626,15928.4542197102,0.59992286128394,0.369142069452828,0.133747832923683,1.00000938805513
4.689,49.9320023192696,2.60319931327281e-06,1200,124790.154760485,3479.52962639518,130400.08105323,130400.08105323,15928.4530428078,0.599922768135092,0.369142067504415,0.133747869967329,1.00000943480959
4.69,49.9320023218676,2.61360797704203e-06,1200,124790.154760485,3479.529434642,130400.081293871,130400.081293871,15928.4518667114,0.59992267498625,0.369142065648213,0.133747906988809,1.00000948131976
4.691,49.932002324476,2.62396225550097e-06,1200,124790.154760485,3479.52924217491,130400.081533554,130400.081533554,15928.4506914167,0.599922581837416,0.369142063883742,0.133747943988237,1.0000095275869
4.692,49.9320023270946,2.63426242647644e-06,1200,124790.154760485,3479.52904899766,130400.081772285,130400.081772285,15928.4495169196,0.599922488688588,0.369142062210521,0.133747980965729,1.0000095736123
4.693,49.9320023297236,2.64450877419203e-06,1200,124790.154760485,3479.52885511395,130400.082010067,130400.082010067,15928.4483432159,0.599922395539768,0.369142060628075,0.133748017921399,1.0000096193972
4.694,49.9320023323627,2.65470159053669e-06,1200,124790.154760485,3479.52866052748,130400.082246906,130400.082246906,15928.4471703014,0.599922302390954,0.369142059135929,0.133748054855362,1.00000966494287
4.695,49.932002335012,2.66484113912329e-06,1200,124790.154760485,3479.52846524191,130400.082482807,130400.082482807,15928.4459981722,0.599922209242147,0.369142057733611,0.133748091767731,1.00000971025056
