scheme,Δω_op,mode_idx,real,imag,omega_n,damping
C2,0.7,1,-279.4124027956251,0.0,279.4124027956251,1.0
C2,0.7,2,-50.000060672152166,0.0,50.000060672152166,1.0
C2,0.7,3,-22.602533012921032,0.0,22.602533012921032,1.0
C2,0.7,4,-4.127530921649621,0.0,4.127530921649621,1.0
C2,0.7,5,0.0,0.0,0.0,1.0
C3,0.7,1,-280.0386299672032,0.0,280.0386299672032,1.0
C3,0.7,2,-50.00011812642383,0.0,50.00011812642383,1.0
C3,0.7,3,-21.265743737112878,0.0,21.265743737112878,1.0
C3,0.7,4,-4.83803557160809,0.0,4.83803557160809,1.0
C3,0.7,5,0.0,0.0,0.0,1.0
C4,0.7,1,-85.98593596179145,0.0,85.98593596179145,1.0
C4,0.7,2,-49.9996547072497,0.0,49.9996547072497,1.0
C4,0.7,3,-26.453678815558565,0.0,26.453678815558565,1.0
C4,0.7,4,-8.278558164479186,0.0,8.278558164479186,1.0
C4,0.7,5,0.0001042912184738444,0.0,0.0001042912184738444,-1.0
C1,0.8,1,-264.73909440460096,0.0,264.73909440460096,1.0
C1,0.8,2,-50.00001804224384,0.0,50.00001804224384,1.0
C1,0.8,3,-21.750869684951837,0.0,21.750869684951837,1.0
C1,0.8,4,-3.6595697932766242,0.0,3.6595697932766242,1.0
C1,0.8,5,0.0,0.0,0.0,1.0
C2,0.8,1,-263.02264138572644,0.0,263.02264138572644,1.0
C2,0.8,2,-50.00006705452674,0.0,50.00006705452674,1.0
C2,0.8,3,-22.928637921870823,0.0,22.928637921870823,1.0
C2,0.8,4,-4.198205562949026,0.0,4.198205562949026,1.0
C2,0.8,5,0.0,0.0,0.0,1.0
C3,0.8,1,-263.78903062851595,0.0,263.78903062851595,1.0
C3,0.8,2,-50.000129672942506,0.0,50.000129672942506,1.0
C3,0.8,3,-21.34202877209665,0.0,21.34202877209665,1.0
C3,0.8,4,-5.021273234563665,0.0,5.021273234563665,1.0
C3,0.8,5,0.0,0.0,0.0,1.0
C4,0.8,1,-88.32870700829994,0.0,88.32870700829994,1.0
C4,0.8,2,-49.99961577333474,0.0,49.99961577333474,1.0
